iteration,residual,time_seconds
396,6.952778210544e-01,0.018159
397,6.878371435772e-01,0.018201
398,6.804736210852e-01,0.018243
399,6.731864926424e-01,0.018275
400,6.659750042089e-01,0.018307
401,6.588384085874e-01,0.018341
402,6.517759653712e-01,0.018383
403,6.447869408914e-01,0.018422
404,6.378706081649e-01,0.018462
405,6.310262468428e-01,0.018503
406,6.242531431582e-01,0.018542
407,6.175505898755e-01,0.018585
408,6.109178862385e-01,0.018626
409,6.043543379203e-01,0.018665
410,5.978592569722e-01,0.018742
411,5.914319617735e-01,0.018783
412,5.850717769812e-01,0.018826
413,5.787780334807e-01,0.018866
414,5.725500683355e-01,0.018941
415,5.663872247385e-01,0.018982
416,5.602888519626e-01,0.019023
417,5.542543053121e-01,0.019064
418,5.482829460740e-01,0.019105
419,5.423741414701e-01,0.019145
420,5.365272646084e-01,0.019186
421,5.307416944362e-01,0.019229
422,5.250168156919e-01,0.019269
423,5.193520188585e-01,0.019310
424,5.137467001160e-01,0.019349
425,5.082002612955e-01,0.019388
426,5.027121098323e-01,0.019429
427,4.972816587199e-01,0.019468
428,4.919083264647e-01,0.019508
429,4.865915370396e-01,0.019549
430,4.813307198396e-01,0.019588
431,4.761253096363e-01,0.019629
432,4.709747465331e-01,0.019669
433,4.658784759213e-01,0.019713
434,4.608359484355e-01,0.019752
435,4.558466199098e-01,0.019793
436,4.509099513342e-01,0.019836
437,4.460254088114e-01,0.019879
438,4.411924635135e-01,0.019923
439,4.364105916393e-01,0.020003
440,4.316792743721e-01,0.020047
441,4.269979978369e-01,0.020087
442,4.223662530588e-01,0.020126
443,4.177835359212e-01,0.020165
444,4.132493471245e-01,0.020204
445,4.087631921447e-01,0.020262
446,4.043245811930e-01,0.020422
447,3.999330291746e-01,0.020461
448,3.955880556487e-01,0.020501
449,3.912891847886e-01,0.020540
450,3.870359453417e-01,0.020584
451,3.828278705898e-01,0.020625
452,3.786644983103e-01,0.020665
453,3.745453707369e-01,0.020757
454,3.704700345212e-01,0.020799
455,3.664380406937e-01,0.020843
456,3.624489446264e-01,0.020887
457,3.585023059941e-01,0.020929
458,3.545976887376e-01,0.020971
459,3.507346610254e-01,0.021011
460,3.469127952176e-01,0.021053
461,3.431316678282e-01,0.021095
462,3.393908594889e-01,0.021135
463,3.356899549128e-01,0.021176
464,3.320285428584e-01,0.021215
465,3.284062160937e-01,0.021257
466,3.248225713604e-01,0.021298
467,3.212772093391e-01,0.021339
468,3.177697346143e-01,0.021381
469,3.142997556389e-01,0.021422
470,3.108668847007e-01,0.021461
471,3.074707378873e-01,0.021503
472,3.041109350528e-01,0.021543
473,3.007870997835e-01,0.021583
474,2.974988593647e-01,0.021623
475,2.942458447474e-01,0.021665
476,2.910276905153e-01,0.021705
477,2.878440348521e-01,0.021747
478,2.846945195089e-01,0.021788
479,2.815787897723e-01,0.021830
480,2.784964944317e-01,0.021871
481,2.754472857483e-01,0.021912
482,2.724308194231e-01,0.021954
